model,family,dataset,accuracy,macro_f1,weighted_f1,ckpt_size_mb
RGB CNN Without Noise,Custom CNN,F262,0.3028571428571429,0.20218000820628498,,9.102458000183105
RGB CNN With Noise,Custom CNN,F262,0.29523809523809524,0.21613654962318904,,9.102423667907715
Grayscale MaxPool,Custom CNN,F262,0.20952380952380953,0.08524277427828741,,9.101313591003418
MobileNetV2 RGB With Noise — F262,MobileNetV2,F262,0.32571428571428573,0.19764462066362407,0.32154075973604124,8.757126808166504
MobileNetV2 Grayscale MaxPool — F262,MobileNetV2,F262,0.19047619047619047,0.07286456663963108,0.11568762777950495,8.75468921661377
MobileNetV2 RGB Clean — F262,MobileNetV2,F262,0.14666666666666667,0.06975787987974598,0.11180667107170153,8.757126808166504
RGB CNN With Noise,Custom CNN,FR360,1.0,1.0,,9.102423667907715
RGB CNN Without Noise,Custom CNN,FR360,1.0,1.0,,9.102458000183105
Grayscale MaxPool,Custom CNN,FR360,0.9501831501831501,0.9457489373935408,,9.101313591003418
MobileNetV2 Grayscale MaxPool,MobileNetV2,FR360,1.0,1.0,1.0,8.75468921661377
MobileNetV2 RGB Clean,MobileNetV2,FR360,1.0,1.0,1.0,8.757126808166504
MobileNetV2 RGB With Noise,MobileNetV2,FR360,0.9992673992673993,0.9992226953641745,0.9992673214538167,8.757126808166504
RGB CNN With Noise,Custom CNN,Fresh,0.47333333333333333,0.1839545549553026,,9.102423667907715
RGB CNN Without Noise,Custom CNN,Fresh,0.35,0.11367793246858635,,9.102458000183105
Grayscale MaxPool,Custom CNN,Fresh,0.275,0.09322209143768653,,9.101313591003418
MobileNetV2 RGB With Noise — Fresh,MobileNetV2,Fresh,0.6066666666666667,0.2515611524443864,0.6708297398516972,8.757126808166504
MobileNetV2 RGB Clean — Fresh,MobileNetV2,Fresh,0.44666666666666666,0.16968005045984147,0.45248013455957725,8.757126808166504
MobileNetV2 Grayscale MaxPool — Fresh,MobileNetV2,Fresh,0.23333333333333334,0.09755344904244476,0.2601425307798527,8.75468921661377
